rank,score,image,description,target_probability,reference_probability,probability_margin,best_target_prompt,best_reference_prompt,best_overall_prompt,width,height,extension,size_bytes,references,context_keyword_hits
1,1.7088636346161366,assets/images/2026/20241208_20260223/20260222_210806_0.jpg,a circular chart with colored slices,0.86407870054245,0.01929376646876335,0.8447849340736866,a circular chart with colored slices,a circular object that is not a chart,a circular chart with colored slices,558,558,.jpg,375703,_posts/2026-02-22-weekly-OFS-87.md:277,
2,1.6801628321409225,assets/images/2024/20240829_20241109/20241107_024427_3.jpg,a doughnut chart,0.8623158931732178,0.044468954205513,0.8178469389677048,a doughnut chart,a scatter plot,a doughnut chart,768,520,.jpg,152950,_posts/2024-11-09-weekly-OFS-20.md:114,
3,1.5760800834978,assets/images/2024/pdf_classification_piechart_equally_distributed.png,a composition breakdown pie chart,0.7884846925735474,0.0008893016492947936,0.7875953909242526,a composition breakdown pie chart,a circular object that is not a chart,a composition breakdown pie chart,1000,800,.png,91610,_posts/2024-08-24-weekly-OFS-9.md:75,
4,1.5630818083882332,assets/images/2024/20240707_20241017/20241014_184725_3.jpg,a circular chart with colored slices,0.8200896978378296,0.077097587287426,0.7429921105504036,a circular chart with colored slices,a circular object that is not a chart,a circular chart with colored slices,1200,1165,.jpg,239617,_posts/2024-10-20-weekly-OFS-17.md:195,
5,1.5291881710290909,assets/images/2025/20250214_20250921/20250214_075429_1.jpg,a circular chart with colored slices,0.8019988536834717,0.07480953633785248,0.7271893173456192,a circular chart with colored slices,a circular object that is not a chart,a circular chart with colored slices,1200,1089,.jpg,369469,_posts/2025-09-21-weekly-OFS-65.md:197,
6,1.470914177596569,assets/images/2025/20241101_20250216/20250211_090617_2.jpg,a circular chart with colored slices,0.7689240574836731,0.06693393737077713,0.701990120112896,a circular chart with colored slices,a circular object that is not a chart,a circular chart with colored slices,1200,1023,.jpg,361319,_posts/2025-02-16-weekly-OFS-34.md:232,
7,1.3758125320076942,assets/images/2026/20240822_20260427/20260422_163351_0.jpg,a market share pie chart,0.7059721946716309,0.061131857335567474,0.6448403373360634,a market share pie chart,a scatter plot,a market share pie chart,1200,963,.jpg,278471,_posts/2026-04-27-weekly-OFS-96.md:85,"percent, percentage"
8,1.3710101619362831,assets/images/2025/20241101_20250216/20250212_070932_3.jpg,a circular chart with colored slices,0.740403950214386,0.10979773849248886,0.6306062117218971,a circular chart with colored slices,a circular object that is not a chart,a circular chart with colored slices,1167,1200,.jpg,103309,_posts/2025-02-16-weekly-OFS-34.md:254,
9,1.3524768874049187,assets/images/2026/OFC2026/IMG_4194.JPG,a circular percentage chart,0.7218198776245117,0.09116286784410477,0.630657009780407,a circular percentage chart,a circular object that is not a chart,a circular percentage chart,4032,3024,.jpg,1611273,_posts/2026-04-04-OFC2026.md:6971,
10,1.3032800778746605,assets/images/2024/20240702_20241207/20241207_212301_0.jpg,a circular chart with colored slices,0.6843902468681335,0.0655004158616066,0.618889831006527,a circular chart with colored slices,a circular object that is not a chart,a circular chart with colored slices,640,360,.jpg,22809,_posts/2024-12-15-weekly-OFS-25.md:191,
11,1.2722346112132072,assets/images/2025/20241227_20251117/20251113_073437_0.jpg,a doughnut chart,0.6668283939361572,0.06142217665910721,0.60540621727705,a doughnut chart,a bar chart,a doughnut chart,1199,995,.jpg,67888,_posts/2025-11-16-weekly-OFS-73.md:140,
12,1.1970133930444717,assets/images/2025/20231216_20251013/20251011_010056_0.jpg,a circular chart with colored slices,0.6800275444984436,0.16304169595241547,0.5169858485460281,a circular chart with colored slices,a circular object that is not a chart,a circular chart with colored slices,1080,1080,.jpg,316569,_posts/2025-10-13-weekly-OFS-68.md:47; _posts/2025-10-13-weekly-OFS-68.md:216,
13,1.167168052867055,assets/images/2025/20240822_20250825/20250824_060821_1.jpg,a circular chart with colored slices,0.5947590470314026,0.022350041195750237,0.5724090058356524,a circular chart with colored slices,a bar chart,a circular chart with colored slices,1200,1016,.jpg,63205,_posts/2025-08-24-weekly-OFS-61.md:372,
14,1.1378248125314712,assets/images/2024/20240531_20241225/20241221_153424_1.jpg,a circular chart with colored slices,0.6661447882652283,0.2194647639989853,0.446680024266243,a circular chart with colored slices,a circular object that is not a chart,a circular chart with colored slices,801,1200,.jpg,52351,_posts/2024-12-29-weekly-OFS-27.md:155,percent
15,1.1328977048397064,assets/images/2025/20250330_20250628/20250624_023946_1.jpg,a donut chart,0.5695671439170837,0.00623658299446106,0.5633305609226227,a donut chart,a bar chart,a donut chart,1200,789,.jpg,62716,_posts/2025-06-29-weekly-OFS-53.md:130,
16,1.1323713660240173,assets/images/2026/20250301_20260304/20260226_073828_0.jpg,a circular percentage chart,0.5959281921386719,0.059485018253326416,0.5364431738853455,a circular percentage chart,a line chart,a circular percentage chart,1200,702,.jpg,67210,_posts/2026-03-02-weekly-OFS-88.md:123,
17,1.1128248125314713,assets/images/2025/20240830_20250427/20250425_222654_1.jpg,a circular chart with colored slices,0.6661447882652283,0.2194647639989853,0.446680024266243,a circular chart with colored slices,a circular object that is not a chart,a circular chart with colored slices,801,1200,.jpg,52351,_posts/2025-04-27-weekly-OFS-44.md:274,
