rank,score,image,description,target_probability,reference_probability,probability_margin,best_target_prompt,best_reference_prompt,best_overall_prompt,width,height,extension,size_bytes,references,context_keyword_hits
1,1.9946287274360657,assets/images/2025/20241206_20250308/20250302_214017_1.jpg,an optical or photonics diagram,0.9977091550827026,0.0,0.996919572353363,an optical or photonics diagram,,an optical or photonics diagram,1199,729,.jpg,78745,_posts/2025-03-09-weekly-OFS-37.md:126,
2,1.9943116903305054,assets/images/2025/JTWPA/G52lfD4bAAA4YM8.png,an equation or math derivation,0.9979051351547241,0.0,0.9964065551757812,an equation or math derivation,,an equation or math derivation,660,156,.png,15806,_posts/2025-11-15-TWPA.md:205,
3,1.991432011127472,assets/images/imported/ln-properties/image34.png,an equation or math derivation,0.9965394735336304,0.0,0.9948925375938416,an equation or math derivation,,an equation or math derivation,999,645,.png,197239,_posts/2018-04-28-ln-properties.md:112,
4,1.9914007186889648,assets/images/2025/20241231_20250303/20250225_162126_0.jpg,an optical or photonics diagram,0.9966543912887573,0.0,0.9947463274002075,an optical or photonics diagram,,an optical or photonics diagram,1200,716,.jpg,125823,_posts/2025-03-02-weekly-OFS-36.md:202,
5,1.9889760613441467,assets/images/imported/lnnb-full-beam-simulations-1806-1812/image70.png,an equation or math derivation,0.9956958293914795,0.0,0.9932802319526672,an equation or math derivation,,an equation or math derivation,607,201,.png,24454,_posts/2018-06-01-lnnb-full-beam-simulations-1806-1812.md:803,
6,1.9889063835144043,assets/images/2025/20241101_20250124/20250120_193018_1.jpg,an optical or photonics diagram,0.9953953623771667,0.0,0.9935110211372375,an optical or photonics diagram,,an optical or photonics diagram,1200,353,.jpg,69443,_posts/2025-01-26-weekly-OFS-31.md:170,
7,1.987714171409607,assets/images/2025/20240804_20250330/20250325_073036_0.jpg,an optical or photonics diagram,0.9949093461036682,0.0,0.9928048253059387,an optical or photonics diagram,,an optical or photonics diagram,1200,769,.jpg,114008,_posts/2025-03-30-weekly-OFS-40.md:173,
8,1.9867152571678162,assets/images/2025/20241229_20250804/20250802_053752_1.jpg,an optical or photonics diagram,0.9946179986000061,0.0,0.9920972585678101,an optical or photonics diagram,,an optical or photonics diagram,1200,1105,.jpg,211622,_posts/2025-08-05-weekly-OFS-58.md:218,
9,1.9813390970230103,assets/images/2026/20250225_20260126/20260126_030356_2.jpg,a photograph of lab equipment,0.9918632507324219,0.0,0.9894758462905884,a photograph of lab equipment,,a photograph of lab equipment,1200,900,.jpg,174412,_posts/2026-01-25-weekly-OFS-83.md:234; _posts/2026-01-25-weekly-OFS-83.md:282; _posts/2026-02-02-weekly-OFS-84.md:313; _posts/2026-02-08-weekly-OFS-85.md:423; _posts/2026-02-17-weekly-OFS-86.md:383; _posts/2026-02-22-weekly-OFS-87.md:334; _posts/2026-03-02-weekly-OFS-88.md:308; _posts/2026-03-23-weekly-OFS-91.md:487; _posts/2026-03-30-weekly-OFS-92.md:249; _posts/2026-04-07-weekly-OFS-93.md:289; _posts/2026-04-13-weekly-OFS-94.md:230; _posts/2026-04-20-weekly-OFS-95.md:311; _posts/2026-04-27-weekly-OFS-96.md:282; _posts/2026-06-07-weekly-OFS-102.md:345; _posts/2026-06-14-weekly-OFS-103.md:371,
10,1.9812623262405396,assets/images/2025/20240712_20250111/20250109_104108_0.jpg,an optical or photonics diagram,0.9915722608566284,0.0,0.9896900653839111,an optical or photonics diagram,,an optical or photonics diagram,1179,693,.jpg,117638,_posts/2025-01-12-weekly-OFS-29.md:179,
